Function,Total Number,N,Execution Time
MainSimple,1000,10,2.7472428
MainSimple,1500,10,9.201823
MainSimple,2000,10,21.8310394
MainSimple,2500,10,42.4308812
MainSimple,3000,10,72.950617
MainSimple,3500,10,116.4694906
MainSimple,4000,10,173.6235192
MainSimple,4500,10,247.081958
MainSimple,5000,10,339.104575
MainSimple,5500,10,450.258656
MainSimple,6000,10,582.85304
MainSimple,6500,10,742.030968
MainSimple,7000,10,925.884478
MainSimple,7500,10,1138.79135
MainSimple,8000,10,1381.237621
MainSimple,8500,10,1656.575612
MainSimple,9000,10,1967.990942
