Function,Total Number,N,Execution Time
MainSimple,1000,10,2.756648
MainSimple,1000,10,2.744889
MainSimple,1000,10,2.745151
MainSimple,1000,10,2.744845
MainSimple,1000,10,2.744681
Main2,1000,10,0.017706
Main2,1000,10,0.012884
Main2,1000,10,0.013173
Main2,1000,10,0.013491
Main2,1000,10,0.012878
Main,1000,10,0.002265
Main,1000,10,0.002228
Main,1000,10,0.002230
Main,1000,10,0.002229
Main,1000,10,0.002252
EC,1000,10, 0.000996
EC,1000,10, 0.000996
EC,1000,10, 0.000990
EC,1000,10, 0.000996
EC,1000,10, 0.000989
EC2,1000,10,0.000985
EC2,1000,10,0.000986
EC2,1000,10,0.000979
EC2,1000,10,0.000988
EC2,1000,10,0.000982
MainSimple,1500,10,9.202973
MainSimple,1500,10,9.202626
MainSimple,1500,10,9.203194
MainSimple,1500,10,9.200019
MainSimple,1500,10,9.200303
Main2,1500,10,0.030752
Main2,1500,10,0.025631
Main2,1500,10,0.026304
Main2,1500,10,0.025733
Main2,1500,10,0.025754
Main,1500,10,0.004947
Main,1500,10,0.004921
Main,1500,10,0.004919
Main,1500,10,0.004901
Main,1500,10,0.004902
EC,1500,10, 0.001732
EC,1500,10, 0.001712
EC,1500,10, 0.001789
EC,1500,10, 0.001729
EC,1500,10, 0.001717
EC2,1500,10,0.001709
EC2,1500,10,0.001688
EC2,1500,10,0.001684
EC2,1500,10,0.001669
EC2,1500,10,0.001690
MainSimple,2000,10,21.947653
MainSimple,2000,10,21.801212
MainSimple,2000,10,21.801925
MainSimple,2000,10,21.800969
MainSimple,2000,10,21.803438
Main2,2000,10,0.039576
Main2,2000,10,0.040215
Main2,2000,10,0.036184
Main2,2000,10,0.038507
Main2,2000,10,0.039045
Main,2000,10,0.009204
Main,2000,10,0.009303
Main,2000,10,0.009279
Main,2000,10,0.009263
Main,2000,10,0.009266
EC,2000,10, 0.002705
EC,2000,10, 0.002697
EC,2000,10, 0.002702
EC,2000,10, 0.002703
EC,2000,10, 0.002691
EC2,2000,10,0.002626
EC2,2000,10,0.002652
EC2,2000,10,0.002638
EC2,2000,10,0.002632
EC2,2000,10,0.002637
MainSimple,2500,10,42.431915
MainSimple,2500,10,42.430426
MainSimple,2500,10,42.430361
MainSimple,2500,10,42.431305
MainSimple,2500,10,42.430399
Main2,2500,10,0.054021
Main2,2500,10,0.050871
Main2,2500,10,0.050402
Main2,2500,10,0.050172
Main2,2500,10,0.051249
Main,2500,10,0.014877
Main,2500,10,0.014857
Main,2500,10,0.014876
Main,2500,10,0.014790
Main,2500,10,0.014894
EC,2500,10, 0.003954
EC,2500,10, 0.003931
EC,2500,10, 0.003943
EC,2500,10, 0.003933
EC,2500,10, 0.035906
EC2,2500,10,0.003847
EC2,2500,10,0.003848
EC2,2500,10,0.003846
EC2,2500,10,0.003866
EC2,2500,10,0.003852
MainSimple,3000,10,72.950699
MainSimple,3000,10,72.950715
MainSimple,3000,10,72.951854
MainSimple,3000,10,72.948920
MainSimple,3000,10,72.950897
Main2,3000,10,0.096433
Main2,3000,10,0.065516
Main2,3000,10,0.065286
Main2,3000,10,0.065742
Main2,3000,10,0.063577
Main,3000,10,0.020961
Main,3000,10,0.020805
Main,3000,10,0.020835
Main,3000,10,0.020891
Main,3000,10,0.020904
EC,3000,10, 0.005409
EC,3000,10, 0.005392
EC,3000,10, 0.005364
EC,3000,10, 0.005384
EC,3000,10, 0.005378
EC2,3000,10,0.005282
EC2,3000,10,0.005236
EC2,3000,10,0.005265
EC2,3000,10,0.005254
EC2,3000,10,0.005274
MainSimple,3500,10,116.404340
MainSimple,3500,10,116.414389
MainSimple,3500,10,116.561735
MainSimple,3500,10,116.404226
MainSimple,3500,10,116.562763
Main2,3500,10,0.079625
Main2,3500,10,0.077333
Main2,3500,10,0.076542
Main2,3500,10,0.076509
Main2,3500,10,0.075919
Main,3500,10,0.027915
Main,3500,10,0.028214
Main,3500,10,0.027928
Main,3500,10,0.028964
Main,3500,10,0.028007
EC,3500,10, 0.007087
EC,3500,10, 0.007081
EC,3500,10, 0.007073
EC,3500,10, 0.007106
EC,3500,10, 0.007097
EC2,3500,10,0.006908
EC2,3500,10,0.006937
EC2,3500,10,0.006926
EC2,3500,10,0.006931
EC2,3500,10,0.006932
MainSimple,4000,10,173.544675
MainSimple,4000,10,173.668300
MainSimple,4000,10,173.632810
MainSimple,4000,10,173.491004
MainSimple,4000,10,173.780807
Main2,4000,10,0.102222
Main2,4000,10,0.099070
Main2,4000,10,0.127417
Main2,4000,10,0.096479
Main2,4000,10,0.096905
Main,4000,10,0.035661
Main,4000,10,0.035690
Main,4000,10,0.035790
Main,4000,10,0.035634
Main,4000,10,0.035761
EC,4000,10, 0.008987
EC,4000,10, 0.008979
EC,4000,10, 0.008965
EC,4000,10, 0.008976
EC,4000,10, 0.009027
EC2,4000,10,0.008737
EC2,4000,10,0.008762
EC2,4000,10,0.008748
EC2,4000,10,0.008733
EC2,4000,10,0.008748
MainSimple,4500,10,246.957026
MainSimple,4500,10,247.440090
MainSimple,4500,10,246.954554
MainSimple,4500,10,246.953865
MainSimple,4500,10,247.104255
Main2,4500,10,0.120889
Main2,4500,10,0.116546
Main2,4500,10,0.118397
Main2,4500,10,0.117023
Main2,4500,10,0.115533
Main,4500,10,0.046706
Main,4500,10,0.046890
Main,4500,10,0.046565
Main,4500,10,0.046822
Main,4500,10,0.046897
EC,4500,10, 0.011201
EC,4500,10, 0.011235
EC,4500,10, 0.011188
EC,4500,10, 0.011199
EC,4500,10, 0.011196
EC2,4500,10,0.010914
EC2,4500,10,0.010929
EC2,4500,10,0.010917
EC2,4500,10,0.010918
EC2,4500,10,0.010912
