Function,Total Number,N,Execution Time
MainSimple,5000,10,339.104575
Main2,5000,10,0.135084
Main,5000,10,0.053022
EC,5000,10, 0.013677
EC2,5000,10,0.013310
MainSimple,5500,10,450.258656
Main2,5500,10,0.160254
Main,5500,10,0.068832
EC,5500,10, 0.016223
EC2,5500,10,0.015784
MainSimple,6000,10,582.853040
Main2,6000,10,0.226600
Main,6000,10,0.079547
EC,6000,10, 0.019192
EC2,6000,10,0.018655
MainSimple,6500,10,742.030968
Main2,6500,10,0.208651
Main,6500,10,0.092514
EC,6500,10, 0.022408
EC2,6500,10,0.021812
MainSimple,7000,10,925.884478
Main2,7000,10,0.231247
Main,7000,10,0.113702
EC,7000,10, 0.025799
EC2,7000,10,0.024981
MainSimple,7500,10,1138.791350
Main2,7500,10,0.247067
Main,7500,10,0.119936
EC,7500,10, 0.029358
EC2,7500,10,0.028416
MainSimple,8000,10,1381.237621
Main2,8000,10,0.286692
Main,8000,10,0.143219
EC,8000,10, 0.033304
EC2,8000,10,0.032225
MainSimple,8500,10,1656.575612
Main2,8500,10,0.313556
Main,8500,10,0.158552
EC,8500,10, 0.037521
EC2,8500,10,0.036320
MainSimple,9000,10,1967.990942
Main2,9000,10,0.344863
Main,9000,10,0.182487
EC,9000,10, 0.041856
EC2,9000,10,0.040500
