Function,Total Number,N,Execution Time
EC2,1000,10,0.008973
Main,1000,10,0.024601
EC2,1500,10,0.017649
Main,1500,10,0.054079
EC2,2000,10,0.029333
Main,2000,10,0.100094
EC2,2500,10,0.038778
Main,2500,10,0.121160
EC2,3000,10,0.053792
Main,3000,10,0.180654
EC2,3500,10,0.070899
Main,3500,10,0.243566
EC2,4000,10,0.091502
Main,4000,10,0.336244
EC2,4500,10,0.113576
Main,4500,10,0.388007
EC2,5000,10,0.137970
Main,5000,10,0.498596
EC2,5500,10,0.165718
Main,5500,10,0.595209
EC2,6000,10,0.194910
Main,6000,10,0.754098
EC2,6500,10,0.226047
Main,6500,10,0.835695
EC2,7000,10,0.260262
Main,7000,10,0.911147
EC2,7500,10,0.298009
Main,7500,10,1.082908
EC2,8000,10,0.335999
Main,8000,10,1.170771
EC2,8500,10,0.377858
Main,8500,10,1.415920
EC2,9000,10,0.421442
Main,9000,10,1.534358
