Function,Total Number,N,Execution Time
EC2,100,10,0.031485,
EC2,100,20,0.018535,
EC2,100,30,0.011189,
EC2,100,40,0.013353,
EC2,100,50,0.011252,
EC2,100,60,0.007649,
EC2,100,70,0.006012,
EC2,100,80,0.011473,
EC2,100,90,0.009000,
EC2,100,100,0.007628,
Main,100,10,0.012000,
Main,100,20,0.007316,
Main,100,30,0.004813,
Main,100,40,0.010866,
Main,100,50,0.011799,
Main,100,60,0.011280,
Main,100,70,0.010669,
Main,100,80,0.012758,
Main,100,90,0.012522,
Main,100,100,0.002159,
EC2,200,10,0.007321,
EC2,200,20,0.000492,
EC2,200,30,0.000519,
EC2,200,40,0.000567,
EC2,200,50,0.000541,
EC2,200,60,0.000582,
EC2,200,70,0.004128,
EC2,200,80,0.000664,
EC2,200,90,0.000671,
EC2,200,100,0.000692,
EC2,200,110,0.000699,
EC2,200,120,0.000710,
EC2,200,130,0.000688,
EC2,200,140,0.000739,
EC2,200,150,0.000752,
EC2,200,160,0.005679,
EC2,200,170,0.006287,
EC2,200,180,0.000866,
EC2,200,190,0.002270,
EC2,200,200,0.002296,
Main,200,10,0.000565,
Main,200,20,0.004419,
Main,200,30,0.000528,
Main,200,40,0.000599,
Main,200,50,0.000564,
Main,200,60,0.000600,
Main,200,70,0.004418,
Main,200,80,0.000558,
Main,200,90,0.000508,
Main,200,100,0.000571,
Main,200,110,0.000541,
Main,200,120,0.000498,
Main,200,130,0.000534,
Main,200,140,0.000548,
Main,200,150,0.000512,
Main,200,160,0.000500,
Main,200,170,0.000533,
Main,200,180,0.009350,
Main,200,190,0.000584,
Main,200,200,0.006760,
EC2,300,10,0.005096,
EC2,300,20,0.000627,
EC2,300,30,0.000625,
EC2,300,40,0.000699,
EC2,300,50,0.000712,
EC2,300,60,0.000703,
EC2,300,70,0.005075,
EC2,300,80,0.005015,
EC2,300,90,0.005836,
EC2,300,100,0.000933,
EC2,300,110,0.001519,
EC2,300,120,0.002693,
EC2,300,130,0.005752,
EC2,300,140,0.001167,
EC2,300,150,0.001167,
EC2,300,160,0.002726,
EC2,300,170,0.001244,
EC2,300,180,0.001327,
EC2,300,190,0.001301,
EC2,300,200,0.001323,
EC2,300,210,0.003129,
EC2,300,220,0.001455,
EC2,300,230,0.001372,
EC2,300,240,0.001416,
EC2,300,250,0.001431,
EC2,300,260,0.001487,
EC2,300,270,0.001451,
EC2,300,280,0.001496,
EC2,300,290,0.001456,
EC2,300,300,0.001507,
Main,300,10,0.000490,
Main,300,20,0.000489,
Main,300,30,0.000519,
Main,300,40,0.000498,
Main,300,50,0.009783,
Main,300,60,0.000533,
Main,300,70,0.009523,
Main,300,80,0.000525,
Main,300,90,0.000533,
Main,300,100,0.000528,
Main,300,110,0.000496,
Main,300,120,0.000497,
Main,300,130,0.000540,
Main,300,140,0.000505,
Main,300,150,0.000520,
Main,300,160,0.000535,
Main,300,170,0.000508,
Main,300,180,0.000546,
Main,300,190,0.000636,
Main,300,200,0.000488,
Main,300,210,0.000511,
Main,300,220,0.000532,
Main,300,230,0.000510,
Main,300,240,0.000478,
Main,300,250,0.000506,
Main,300,260,0.000515,
Main,300,270,0.000478,
Main,300,280,0.009700,
Main,300,290,0.000458,
Main,300,300,0.009506,
EC2,400,10,0.000459,
EC2,400,20,0.005182,
EC2,400,30,0.000588,
EC2,400,40,0.004144,
EC2,400,50,0.000741,
EC2,400,60,0.000787,
EC2,400,70,0.000824,
EC2,400,80,0.000888,
