Function,TotalNumber,N,ExecutionTime
EC2,100,10,0.000341
EC2,100,20,0.000329
EC2,100,30,0.000361
EC2,100,40,0.000365
EC2,100,50,0.000366
EC2,100,60,0.000395
EC2,100,70,0.000405
EC2,100,80,0.000409
EC2,100,90,0.000406
EC2,100,100,0.000391
Main,100,10,0.000314
Main,100,20,0.000325
Main,100,30,0.000329
Main,100,40,0.000316
Main,100,50,0.000324
Main,100,60,0.000319
Main,100,70,0.000321
Main,100,80,0.000323
Main,100,90,0.000320
Main,100,100,0.000324
EC2,200,10,0.000319
EC2,200,20,0.000368
EC2,200,30,0.000413
EC2,200,40,0.000474
EC2,200,50,0.000525
EC2,200,60,0.000588
EC2,200,70,0.000624
EC2,200,80,0.000663
EC2,200,90,0.000719
EC2,200,100,0.000765
EC2,200,110,0.000825
EC2,200,120,0.000845
EC2,200,130,0.000884
EC2,200,140,0.000926
EC2,200,150,0.000960
EC2,200,160,0.000981
EC2,200,170,0.001009
EC2,200,180,0.001027
EC2,200,190,0.001042
EC2,200,200,0.001057
Main,200,10,0.000385
Main,200,20,0.000369
Main,200,30,0.000381
Main,200,40,0.000393
Main,200,50,0.000384
Main,200,60,0.000398
Main,200,70,0.000391
Main,200,80,0.000381
Main,200,90,0.000426
Main,200,100,0.000409
Main,200,110,0.000407
Main,200,120,0.000408
Main,200,130,0.000393
Main,200,140,0.000398
Main,200,150,0.000411
Main,200,160,0.000394
Main,200,170,0.000395
Main,200,180,0.000397
Main,200,190,0.000390
Main,200,200,0.000406
EC2,300,10,0.000392
EC2,300,20,0.000487
EC2,300,30,0.000566
EC2,300,40,0.000644
EC2,300,50,0.000771
EC2,300,60,0.000855
EC2,300,70,0.000927
EC2,300,80,0.001047
EC2,300,90,0.001140
EC2,300,100,0.001254
EC2,300,110,0.001370
EC2,300,120,0.001483
EC2,300,130,0.001590
EC2,300,140,0.001704
EC2,300,150,0.001801
EC2,300,160,0.001891
EC2,300,170,0.001987
EC2,300,180,0.002088
EC2,300,190,0.002163
EC2,300,200,0.002239
EC2,300,210,0.002332
EC2,300,220,0.002412
EC2,300,230,0.002438
EC2,300,240,0.002505
EC2,300,250,0.002560
EC2,300,260,0.002590
EC2,300,270,0.003622
EC2,300,280,0.002667
EC2,300,290,0.002657
EC2,300,300,0.002680
Main,300,10,0.000498
Main,300,20,0.000487
Main,300,30,0.000518
Main,300,40,0.000503
Main,300,50,0.000499
Main,300,60,0.000506
Main,300,70,0.000521
Main,300,80,0.000516
Main,300,90,0.000522
Main,300,100,0.000532
Main,300,110,0.000539
Main,300,120,0.000539
Main,300,130,0.000543
Main,300,140,0.000530
Main,300,150,0.000535
Main,300,160,0.000530
Main,300,170,0.000541
Main,300,180,0.000540
Main,300,190,0.000552
Main,300,200,0.000527
Main,300,210,0.000522
Main,300,220,0.000527
Main,300,230,0.000525
Main,300,240,0.000526
Main,300,250,0.000516
Main,300,260,0.000509
Main,300,270,0.000486
Main,300,280,0.000502
Main,300,290,0.000498
Main,300,300,0.000467
EC2,400,10,0.000425
EC2,400,20,0.000547
EC2,400,30,0.000697
EC2,400,40,0.000864
EC2,400,50,0.001015
EC2,400,60,0.001217
EC2,400,70,0.001324
EC2,400,80,0.001484
EC2,400,90,0.001673
EC2,400,100,0.001871
EC2,400,110,0.002048
EC2,400,120,0.002241
EC2,400,130,0.002438
EC2,400,140,0.002642
EC2,400,150,0.002830
EC2,400,160,0.003015
EC2,400,170,0.003222
EC2,400,180,0.003411
EC2,400,190,0.003588
EC2,400,200,0.003748
EC2,400,210,0.003911
EC2,400,220,0.004126
EC2,400,230,0.004304
EC2,400,240,0.004459
EC2,400,250,0.004592
EC2,400,260,0.004727
EC2,400,270,0.004854
EC2,400,280,0.005002
EC2,400,290,0.005103
EC2,400,300,0.005238
EC2,400,310,0.005323
EC2,400,320,0.005403
EC2,400,330,0.005495
EC2,400,340,0.005573
EC2,400,350,0.005644
EC2,400,360,0.005704
EC2,400,370,0.005735
EC2,400,380,0.005769
EC2,400,390,0.005796
EC2,400,400,0.005790
Main,400,10,0.000595
Main,400,20,0.000616
Main,400,30,0.000644
Main,400,40,0.000632
Main,400,50,0.000634
Main,400,60,0.000649
Main,400,70,0.000655
Main,400,80,0.000660
Main,400,90,0.000671
Main,400,100,0.000821
Main,400,110,0.000689
Main,400,120,0.000699
Main,400,130,0.000689
Main,400,140,0.000712
Main,400,150,0.000695
Main,400,160,0.000679
Main,400,170,0.000715
Main,400,180,0.000703
Main,400,190,0.000691
Main,400,200,0.000717
Main,400,210,0.000712
Main,400,220,0.000696
Main,400,230,0.000699
Main,400,240,0.000693
Main,400,250,0.000714
Main,400,260,0.000677
Main,400,270,0.000673
Main,400,280,0.000695
Main,400,290,0.000694
Main,400,300,0.000688
Main,400,310,0.000694
Main,400,320,0.000706
Main,400,330,0.000677
Main,400,340,0.000694
Main,400,350,0.000689
Main,400,360,0.000685
Main,400,370,0.000683
Main,400,380,0.000660
Main,400,390,0.000636
Main,400,400,0.000634
EC2,500,10,0.000492
EC2,500,20,0.000663
EC2,500,30,0.000864
EC2,500,40,0.001075
EC2,500,50,0.001328
EC2,500,60,0.001571
EC2,500,70,0.001786
EC2,500,80,0.002067
EC2,500,90,0.002339
EC2,500,100,0.002632
EC2,500,110,0.002903
EC2,500,120,0.003165
EC2,500,130,0.003455
EC2,500,140,0.003748
EC2,500,150,0.004052
EC2,500,160,0.004328
EC2,500,170,0.004627
EC2,500,180,0.004923
EC2,500,190,0.005210
EC2,500,200,0.005498
EC2,500,210,0.005808
EC2,500,220,0.006100
EC2,500,230,0.006427
EC2,500,240,0.006688
EC2,500,250,0.006959
EC2,500,260,0.007289
EC2,500,270,0.007548
EC2,500,280,0.007834
EC2,500,290,0.008102
EC2,500,300,0.008381
EC2,500,310,0.008599
EC2,500,320,0.008827
EC2,500,330,0.009037
EC2,500,340,0.009296
EC2,500,350,0.009646
EC2,500,360,0.009707
EC2,500,370,0.009891
EC2,500,380,0.010080
EC2,500,390,0.010224
EC2,500,400,0.010381
EC2,500,410,0.010515
EC2,500,420,0.010632
EC2,500,430,0.010758
EC2,500,440,0.010863
EC2,500,450,0.010951
EC2,500,460,0.011002
EC2,500,470,0.011094
EC2,500,480,0.011091
EC2,500,490,0.011114
EC2,500,500,0.011146
Main,500,10,0.000785
Main,500,20,0.000799
Main,500,30,0.000837
Main,500,40,0.000828
Main,500,50,0.000832
Main,500,60,0.000845
Main,500,70,0.000836
Main,500,80,0.000860
Main,500,90,0.000875
Main,500,100,0.000895
Main,500,110,0.000898
Main,500,120,0.000885
Main,500,130,0.000917
Main,500,140,0.000909
Main,500,150,0.000946
Main,500,160,0.000918
Main,500,170,0.000919
Main,500,180,0.000931
Main,500,190,0.000925
Main,500,200,0.000926
Main,500,210,0.000938
Main,500,220,0.000939
Main,500,230,0.000948
Main,500,240,0.000951
Main,500,250,0.000947
Main,500,260,0.000950
Main,500,270,0.000937
Main,500,280,0.000936
Main,500,290,0.000926
Main,500,300,0.000919
Main,500,310,0.000932
Main,500,320,0.000949
Main,500,330,0.000945
Main,500,340,0.000952
Main,500,350,0.000945
Main,500,360,0.000923
Main,500,370,0.000922
Main,500,380,0.000914
Main,500,390,0.000885
Main,500,400,0.000887
Main,500,410,0.000863
Main,500,420,0.000865
Main,500,430,0.000840
Main,500,440,0.000839
Main,500,450,0.000832
Main,500,460,0.000811
Main,500,470,0.000794
Main,500,480,0.000802
Main,500,490,0.000777
Main,500,500,0.000746
EC2,600,10,0.000588
EC2,600,20,0.000774
EC2,600,30,0.001014
EC2,600,40,0.001297
EC2,600,50,0.001581
EC2,600,60,0.001922
EC2,600,70,0.002159
EC2,600,80,0.002480
EC2,600,90,0.002829
EC2,600,100,0.003195
EC2,600,110,0.003559
EC2,600,120,0.003943
EC2,600,130,0.004348
EC2,600,140,0.004757
EC2,600,150,0.005160
EC2,600,160,0.005598
EC2,600,170,0.006004
EC2,600,180,0.006416
EC2,600,190,0.006829
EC2,600,200,0.007243
EC2,600,210,0.007652
EC2,600,220,0.008108
EC2,600,230,0.008515
EC2,600,240,0.008969
EC2,600,250,0.009428
EC2,600,260,0.009816
EC2,600,270,0.010245
EC2,600,280,0.010683
EC2,600,290,0.011097
EC2,600,300,0.011491
EC2,600,310,0.011872
EC2,600,320,0.012301
EC2,600,330,0.012686
EC2,600,340,0.013067
EC2,600,350,0.013429
EC2,600,360,0.013767
EC2,600,370,0.014094
EC2,600,380,0.014443
EC2,600,390,0.014749
EC2,600,400,0.015040
EC2,600,410,0.015340
EC2,600,420,0.015611
EC2,600,430,0.015838
EC2,600,440,0.016102
EC2,600,450,0.016330
EC2,600,460,0.017112
EC2,600,470,0.016798
EC2,600,480,0.016990
EC2,600,490,0.017171
EC2,600,500,0.017383
EC2,600,510,0.017557
EC2,600,520,0.017698
EC2,600,530,0.017835
EC2,600,540,0.018000
EC2,600,550,0.018106
EC2,600,560,0.018171
EC2,600,570,0.018233
EC2,600,580,0.018238
EC2,600,590,0.018245
EC2,600,600,0.018282
Main,600,10,0.001008
Main,600,20,0.001019
Main,600,30,0.001069
Main,600,40,0.001054
Main,600,50,0.001091
Main,600,60,0.001101
Main,600,70,0.001117
Main,600,80,0.001116
Main,600,90,0.001124
Main,600,100,0.001139
Main,600,110,0.001144
Main,600,120,0.001155
Main,600,130,0.001160
Main,600,140,0.001166
Main,600,150,0.001158
Main,600,160,0.001187
Main,600,170,0.001184
Main,600,180,0.001186
Main,600,190,0.001193
Main,600,200,0.001182
Main,600,210,0.001192
Main,600,220,0.001193
Main,600,230,0.001197
Main,600,240,0.001208
Main,600,250,0.001194
Main,600,260,0.001214
Main,600,270,0.001212
Main,600,280,0.001229
Main,600,290,0.001222
Main,600,300,0.001201
Main,600,310,0.001219
Main,600,320,0.001213
Main,600,330,0.001201
Main,600,340,0.001221
Main,600,350,0.001199
Main,600,360,0.001188
Main,600,370,0.001212
Main,600,380,0.001191
Main,600,390,0.001197
Main,600,400,0.001189
Main,600,410,0.001188
Main,600,420,0.001194
Main,600,430,0.001182
Main,600,440,0.001152
Main,600,450,0.001170
Main,600,460,0.001174
Main,600,470,0.001186
Main,600,480,0.001144
Main,600,490,0.001137
Main,600,500,0.001122
Main,600,510,0.001115
Main,600,520,0.001093
Main,600,530,0.001070
Main,600,540,0.001053
Main,600,550,0.001036
Main,600,560,0.001016
Main,600,570,0.001019
Main,600,580,0.001021
Main,600,590,0.000987
Main,600,600,0.000976
EC2,700,10,0.000648
EC2,700,20,0.000893
EC2,700,30,0.001192
EC2,700,40,0.001532
EC2,700,50,0.001901
EC2,700,60,0.002276
EC2,700,70,0.002582
EC2,700,80,0.002993
EC2,700,90,0.003439
EC2,700,100,0.003922
EC2,700,110,0.004391
EC2,700,120,0.004843
EC2,700,130,0.005343
EC2,700,140,0.005870
EC2,700,150,0.006369
EC2,700,160,0.006922
EC2,700,170,0.007467
EC2,700,180,0.008034
EC2,700,190,0.008601
EC2,700,200,0.009139
EC2,700,210,0.009815
EC2,700,220,0.010314
EC2,700,230,0.010871
EC2,700,240,0.011441
EC2,700,250,0.012020
EC2,700,260,0.012518
EC2,700,270,0.013111
EC2,700,280,0.013667
EC2,700,290,0.014290
EC2,700,300,0.014832
EC2,700,310,0.015374
EC2,700,320,0.015939
EC2,700,330,0.016459
EC2,700,340,0.016954
EC2,700,350,0.017489
EC2,700,360,0.018047
EC2,700,370,0.018610
EC2,700,380,0.019157
EC2,700,390,0.019722
EC2,700,400,0.020220
EC2,700,410,0.020698
EC2,700,420,0.021210
EC2,700,430,0.021680
EC2,700,440,0.022154
EC2,700,450,0.022609
EC2,700,460,0.023064
EC2,700,470,0.023523
EC2,700,480,0.023941
EC2,700,490,0.024404
EC2,700,500,0.024765
EC2,700,510,0.025177
EC2,700,520,0.025579
EC2,700,530,0.025970
EC2,700,540,0.026345
EC2,700,550,0.026712
EC2,700,560,0.026975
EC2,700,570,0.027260
EC2,700,580,0.027528
EC2,700,590,0.027739
EC2,700,600,0.027985
EC2,700,610,0.028208
EC2,700,620,0.028341
EC2,700,630,0.029282
EC2,700,640,0.028671
EC2,700,650,0.028761
EC2,700,660,0.028830
EC2,700,670,0.028908
EC2,700,680,0.028948
EC2,700,690,0.029015
EC2,700,700,0.029021
Main,700,10,0.001228
Main,700,20,0.001253
Main,700,30,0.001298
Main,700,40,0.001293
Main,700,50,0.001343
Main,700,60,0.001351
Main,700,70,0.001350
Main,700,80,0.001354
Main,700,90,0.001367
Main,700,100,0.001399
Main,700,110,0.001390
Main,700,120,0.001398
Main,700,130,0.001418
Main,700,140,0.001429
Main,700,150,0.001420
Main,700,160,0.001449
Main,700,170,0.001454
Main,700,180,0.001477
Main,700,190,0.001484
Main,700,200,0.001515
Main,700,210,0.001508
Main,700,220,0.001498
Main,700,230,0.001512
Main,700,240,0.001521
Main,700,250,0.001502
Main,700,260,0.001513
Main,700,270,0.001499
Main,700,280,0.001502
Main,700,290,0.001506
Main,700,300,0.001504
Main,700,310,0.001512
Main,700,320,0.001504
Main,700,330,0.001490
Main,700,340,0.001497
Main,700,350,0.001520
Main,700,360,0.001506
Main,700,370,0.001510
Main,700,380,0.001529
Main,700,390,0.001533
Main,700,400,0.001513
Main,700,410,0.001509
Main,700,420,0.001515
Main,700,430,0.001523
Main,700,440,0.001538
Main,700,450,0.001521
Main,700,460,0.001505
Main,700,470,0.001498
Main,700,480,0.001496
Main,700,490,0.001486
Main,700,500,0.001481
Main,700,510,0.001504
Main,700,520,0.001471
Main,700,530,0.001461
Main,700,540,0.001456
Main,700,550,0.001438
Main,700,560,0.001432
Main,700,570,0.001403
Main,700,580,0.001423
Main,700,590,0.001390
Main,700,600,0.001378
Main,700,610,0.001320
Main,700,620,0.001322
Main,700,630,0.001306
Main,700,640,0.001302
Main,700,650,0.001269
Main,700,660,0.001256
Main,700,670,0.001261
Main,700,680,0.001248
Main,700,690,0.001225
Main,700,700,0.001189
EC2,800,10,0.000753
EC2,800,20,0.001040
EC2,800,30,0.001388
EC2,800,40,0.001768
EC2,800,50,0.002185
EC2,800,60,0.002661
EC2,800,70,0.003019
EC2,800,80,0.003507
EC2,800,90,0.004054
EC2,800,100,0.004626
EC2,800,110,0.005216
EC2,800,120,0.005829
EC2,800,130,0.006463
EC2,800,140,0.007065
EC2,800,150,0.007694
EC2,800,160,0.008380
EC2,800,170,0.009066
EC2,800,180,0.009777
EC2,800,190,0.010453
EC2,800,200,0.011164
EC2,800,210,0.011889
EC2,800,220,0.012640
EC2,800,230,0.013382
EC2,800,240,0.014913
EC2,800,250,0.014962
EC2,800,260,0.015725
EC2,800,270,0.016450
EC2,800,280,0.017174
EC2,800,290,0.017901
EC2,800,300,0.018620
EC2,800,310,0.019336
EC2,800,320,0.020134
EC2,800,330,0.020889
EC2,800,340,0.021561
EC2,800,350,0.022319
EC2,800,360,0.023017
EC2,800,370,0.023738
EC2,800,380,0.024435
EC2,800,390,0.025206
EC2,800,400,0.025925
EC2,800,410,0.026691
EC2,800,420,0.027254
EC2,800,430,0.027870
EC2,800,440,0.028524
EC2,800,450,0.029222
EC2,800,460,0.029869
EC2,800,470,0.030552
EC2,800,480,0.031150
EC2,800,490,0.031776
EC2,800,500,0.032386
EC2,800,510,0.032977
EC2,800,520,0.033527
EC2,800,530,0.034055
EC2,800,540,0.034545
EC2,800,550,0.035013
EC2,800,560,0.036090
EC2,800,570,0.035971
EC2,800,580,0.036516
EC2,800,590,0.036980
EC2,800,600,0.037374
EC2,800,610,0.037815
EC2,800,620,0.038162
EC2,800,630,0.038597
EC2,800,640,0.038983
EC2,800,650,0.039278
EC2,800,660,0.039628
EC2,800,670,0.039937
EC2,800,680,0.040132
EC2,800,690,0.040390
EC2,800,700,0.040675
EC2,800,710,0.040911
EC2,800,720,0.041089
EC2,800,730,0.041276
EC2,800,740,0.041402
EC2,800,750,0.041573
EC2,800,760,0.041801
EC2,800,770,0.041924
EC2,800,780,0.042628
EC2,800,790,0.042061
EC2,800,800,0.042007
Main,800,10,0.001591
Main,800,20,0.001601
Main,800,30,0.001621
Main,800,40,0.001633
Main,800,50,0.001647
Main,800,60,0.001653
Main,800,70,0.001687
Main,800,80,0.001698
Main,800,90,0.001723
Main,800,100,0.001724
Main,800,110,0.001737
Main,800,120,0.001740
Main,800,130,0.001747
Main,800,140,0.001762
Main,800,150,0.001761
Main,800,160,0.001791
Main,800,170,0.001797
Main,800,180,0.001805
Main,800,190,0.001823
Main,800,200,0.001834
Main,800,210,0.001822
Main,800,220,0.001842
Main,800,230,0.001856
Main,800,240,0.001849
Main,800,250,0.001886
Main,800,260,0.001893
Main,800,270,0.001879
Main,800,280,0.001882
Main,800,290,0.001899
Main,800,300,0.001887
Main,800,310,0.001895
Main,800,320,0.001901
Main,800,330,0.001900
Main,800,340,0.001905
Main,800,350,0.001914
Main,800,360,0.002030
