Function,Total Number,N,Execution Time
EC2,18800,10,0.175715
EC2,18800,20,0.186472
EC2,18800,30,0.200689
EC2,18800,40,0.216991
EC2,18800,50,0.236783
EC2,18800,60,0.259342
EC2,18800,70,0.281641
EC2,18800,80,0.309306
EC2,18800,90,0.338947
EC2,18800,100,0.371068
EC2,18800,110,0.406278
EC2,18800,120,0.443013
EC2,18800,130,0.482168
EC2,18800,140,0.524468
EC2,18800,150,0.566867
EC2,18800,160,0.612734
EC2,18800,170,0.660966
EC2,18800,180,0.711568
EC2,18800,190,0.763893
EC2,18800,200,0.822034
EC2,18800,210,0.874217
EC2,18800,220,0.932286
EC2,18800,230,0.994085
EC2,18800,240,1.057532
EC2,18800,250,1.120822
EC2,18800,260,1.187883
EC2,18800,270,1.256796
EC2,18800,280,1.328313
EC2,18800,290,1.402108
EC2,18800,300,1.475307
EC2,18800,310,1.558098
EC2,18800,320,1.628684
EC2,18800,330,1.707347
EC2,18800,340,1.789305
EC2,18800,350,1.872819
EC2,18800,360,1.958757
EC2,18800,370,2.050680
EC2,18800,380,2.133571
EC2,18800,390,2.223162
EC2,18800,400,2.326851
EC2,18800,410,2.412682
EC2,18800,420,2.503261
EC2,18800,430,2.600219
EC2,18800,440,2.751593
EC2,18800,450,2.797693
EC2,18800,460,2.898741
EC2,18800,470,3.002184
EC2,18800,480,3.107329
EC2,18800,490,3.213067
EC2,18800,500,3.320176
EC2,18800,510,3.428180
EC2,18800,520,3.539280
EC2,18800,530,3.651512
EC2,18800,540,3.767206
EC2,18800,550,3.882454
EC2,18800,560,4.000183
EC2,18800,570,4.118264
EC2,18800,580,4.238542
EC2,18800,590,4.359670
EC2,18800,600,4.483024
EC2,18800,610,4.607881
EC2,18800,620,4.734552
EC2,18800,630,4.860861
EC2,18800,640,4.990491
EC2,18800,650,5.118318
EC2,18800,660,5.250022
EC2,18800,670,5.383318
EC2,18800,680,5.530858
EC2,18800,690,5.653704
EC2,18800,700,5.790727
EC2,18800,710,5.928251
EC2,18800,720,6.067437
EC2,18800,730,6.209580
EC2,18800,740,6.352549
EC2,18800,750,6.498208
EC2,18800,760,6.641251
EC2,18800,770,6.799804
EC2,18800,780,6.937888
EC2,18800,790,7.088330
EC2,18800,800,7.240283
EC2,18800,810,7.392527
EC2,18800,820,7.543354
EC2,18800,830,7.878771
EC2,18800,840,7.849905
EC2,18800,850,8.017863
EC2,18800,860,8.254395
EC2,18800,870,8.330038
EC2,18800,880,8.486210
EC2,18800,890,8.646980
EC2,18800,900,8.807775
EC2,18800,910,8.970678
EC2,18800,920,9.149970
EC2,18800,930,9.402254
EC2,18800,940,10.006187
EC2,18800,950,9.634612
EC2,18800,960,9.802445
EC2,18800,970,9.969897
EC2,18800,980,10.155159
EC2,18800,990,10.329564
EC2,18800,1000,10.486594
Main,18800,10,0.798798
Main,18800,20,0.802686
Main,18800,30,0.806325
Main,18800,40,0.802557
Main,18800,50,0.803897
Main,18800,60,0.807478
Main,18800,70,0.807332
Main,18800,80,0.813523
Main,18800,90,0.807019
Main,18800,100,0.811973
Main,18800,110,0.811922
Main,18800,120,0.809823
Main,18800,130,0.811893
Main,18800,140,0.810956
Main,18800,150,0.815833
Main,18800,160,0.811367
Main,18800,170,0.808739
Main,18800,180,0.815339
Main,18800,190,0.815799
Main,18800,200,0.816820
Main,18800,210,0.817927
Main,18800,220,0.814882
Main,18800,230,0.818334
Main,18800,240,0.818084
Main,18800,250,0.817124
Main,18800,260,0.817568
Main,18800,270,0.817887
Main,18800,280,0.825283
Main,18800,290,0.819462
Main,18800,300,0.823988
Main,18800,310,0.820337
Main,18800,320,0.822925
Main,18800,330,0.830638
Main,18800,340,0.828305
Main,18800,350,0.828114
Main,18800,360,0.826612
Main,18800,370,0.826895
Main,18800,380,0.831403
Main,18800,390,0.829759
