Function,TotalNumber,N,ExecutionTime
EC2,100,10,0.016533
EC2,100,20,0.012614
EC2,100,30,0.008622
EC2,100,40,0.005591
EC2,100,50,0.006870
EC2,100,60,0.000506
EC2,100,70,0.005212
EC2,100,80,0.003565
EC2,100,90,0.005058
EC2,100,100,0.005470
Main,100,10,0.000523
Main,100,20,0.000499
Main,100,30,0.000491
Main,100,40,0.008279
Main,100,50,0.010704
Main,100,60,0.007243
Main,100,70,0.011024
Main,100,80,0.000499
Main,100,90,0.006732
Main,100,100,0.004529
EC2,200,10,0.000499
EC2,200,20,0.000503
EC2,200,30,0.002295
EC2,200,40,0.000598
EC2,200,50,0.002216
EC2,200,60,0.000639
EC2,200,70,0.006140
EC2,200,80,0.000686
EC2,200,90,0.005595
EC2,200,100,0.006886
EC2,200,110,0.000844
EC2,200,120,0.004935
EC2,200,130,0.008034
EC2,200,140,0.007287
EC2,200,150,0.006294
EC2,200,160,0.005897
EC2,200,170,0.005163
EC2,200,180,0.005089
EC2,200,190,0.009656
EC2,200,200,0.009656
Main,200,10,0.012966
Main,200,20,0.013363
Main,200,30,0.013874
Main,200,40,0.011231
Main,200,50,0.010013
Main,200,60,0.011839
Main,200,70,0.000574
Main,200,80,0.009809
Main,200,90,0.000512
Main,200,100,0.007287
Main,200,110,0.012149
Main,200,120,0.001147
Main,200,130,0.010925
Main,200,140,0.015213
Main,200,150,0.011129
Main,200,160,0.007406
Main,200,170,0.012144
Main,200,180,0.004119
Main,200,190,0.004693
Main,200,200,0.013666
EC2,300,10,0.006910
EC2,300,20,0.006931
EC2,300,30,0.005936
EC2,300,40,0.004867
EC2,300,50,0.007052
EC2,300,60,0.007294
EC2,300,70,0.005645
EC2,300,80,0.008037
EC2,300,90,0.006861
EC2,300,100,0.006132
EC2,300,110,0.010181
EC2,300,120,0.011808
EC2,300,130,0.013276
EC2,300,140,0.010391
EC2,300,150,0.008987
EC2,300,160,0.010939
EC2,300,170,0.021916
EC2,300,180,0.019329
EC2,300,190,0.030140
EC2,300,200,0.016530
EC2,300,210,0.014155
EC2,300,220,0.019132
EC2,300,230,0.012045
EC2,300,240,0.015745
EC2,300,250,0.013095
EC2,300,260,0.013989
EC2,300,270,0.016753
EC2,300,280,0.011589
EC2,300,290,0.022201
EC2,300,300,0.014425
Main,300,10,0.020314
Main,300,20,0.021484
Main,300,30,0.015228
Main,300,40,0.011205
Main,300,50,0.010087
Main,300,60,0.000574
Main,300,70,0.011845
Main,300,80,0.000685
Main,300,90,0.010048
Main,300,100,0.014543
Main,300,110,0.011156
Main,300,120,0.005070
Main,300,130,0.010516
Main,300,140,0.021415
Main,300,150,0.018920
Main,300,160,0.014015
Main,300,170,0.012931
Main,300,180,0.011653
Main,300,190,0.013727
Main,300,200,0.011298
Main,300,210,0.014340
Main,300,220,0.024864
Main,300,230,0.018381
Main,300,240,0.014375
Main,300,250,0.022890
Main,300,260,0.025731
Main,300,270,0.015055
Main,300,280,0.026621
Main,300,290,0.019056
Main,300,300,0.021519
EC2,400,10,0.041051
EC2,400,20,0.016113
EC2,400,30,0.014408
EC2,400,40,0.008960
EC2,400,50,0.005936
EC2,400,60,0.008984
EC2,400,70,0.006234
EC2,400,80,0.014948
EC2,400,90,0.006420
EC2,400,100,0.011238
EC2,400,110,0.007694
EC2,400,120,0.007124
EC2,400,130,0.012318
EC2,400,140,0.010579
EC2,400,150,0.009074
EC2,400,160,0.013868
EC2,400,170,0.017739
EC2,400,180,0.019605
EC2,400,190,0.014542
EC2,400,200,0.019070
EC2,400,210,0.020882
EC2,400,220,0.013654
EC2,400,230,0.019379
EC2,400,240,0.016839
EC2,400,250,0.018409
EC2,400,260,0.016261
EC2,400,270,0.021472
EC2,400,280,0.017991
EC2,400,290,0.016474
EC2,400,300,0.021445
EC2,400,310,0.047167
EC2,400,320,0.019655
EC2,400,330,0.021700
EC2,400,340,0.019384
EC2,400,350,0.020916
EC2,400,360,0.021010
EC2,400,370,0.021663
EC2,400,380,0.021745
EC2,400,390,0.016684
EC2,400,400,0.027588
Main,400,10,0.029395
Main,400,20,0.019373
Main,400,30,0.014056
Main,400,40,0.011269
Main,400,50,0.017288
Main,400,60,0.013398
Main,400,70,0.007522
Main,400,80,0.010341
Main,400,90,0.004754
Main,400,100,0.011591
Main,400,110,0.014167
Main,400,120,0.011352
Main,400,130,0.011426
Main,400,140,0.013059
Main,400,150,0.017821
Main,400,160,0.017410
Main,400,170,0.017390
Main,400,180,0.019473
Main,400,190,0.026596
Main,400,200,0.012524
Main,400,210,0.012683
Main,400,220,0.019973
Main,400,230,0.014826
Main,400,240,0.020500
Main,400,250,0.020248
Main,400,260,0.019645
Main,400,270,0.027020
Main,400,280,0.019017
Main,400,290,0.017553
Main,400,300,0.020157
Main,400,310,0.024320
Main,400,320,0.026817
Main,400,330,0.022167
Main,400,340,0.022492
Main,400,350,0.021968
Main,400,360,0.021988
Main,400,370,0.024138
Main,400,380,0.028022
Main,400,390,0.047919
Main,400,400,0.022113
EC2,500,10,0.015670
EC2,500,20,0.009908
EC2,500,30,0.015472
EC2,500,40,0.008007
EC2,500,50,0.010100
EC2,500,60,0.006419
EC2,500,70,0.008324
EC2,500,80,0.007393
EC2,500,90,0.010257
EC2,500,100,0.010528
EC2,500,110,0.010977
EC2,500,120,0.013374
EC2,500,130,0.013590
EC2,500,140,0.016159
EC2,500,150,0.015345
EC2,500,160,0.011898
EC2,500,170,0.019502
EC2,500,180,0.014878
EC2,500,190,0.024792
EC2,500,200,0.020889
EC2,500,210,0.021911
EC2,500,220,0.018329
EC2,500,230,0.020656
EC2,500,240,0.023048
EC2,500,250,0.028432
EC2,500,260,0.018400
EC2,500,270,0.016722
EC2,500,280,0.022550
EC2,500,290,0.023888
EC2,500,300,0.020984
EC2,500,310,0.023422
EC2,500,320,0.022345
EC2,500,330,0.017923
EC2,500,340,0.022512
EC2,500,350,0.027851
EC2,500,360,0.022212
EC2,500,370,0.028705
EC2,500,380,0.025815
EC2,500,390,0.019652
EC2,500,400,0.024244
EC2,500,410,0.022608
EC2,500,420,0.030385
EC2,500,430,0.032715
EC2,500,440,0.023961
EC2,500,450,0.022854
EC2,500,460,0.023216
EC2,500,470,0.025832
EC2,500,480,0.040721
EC2,500,490,0.023443
EC2,500,500,0.025048
Main,500,10,0.026725
Main,500,20,0.019230
Main,500,30,0.012461
Main,500,40,0.012426
Main,500,50,0.012732
Main,500,60,0.000761
Main,500,70,0.006899
Main,500,80,0.012177
Main,500,90,0.006022
Main,500,100,0.012147
Main,500,110,0.014752
Main,500,120,0.012198
Main,500,130,0.016023
Main,500,140,0.021639
Main,500,150,0.022028
Main,500,160,0.021359
Main,500,170,0.029615
Main,500,180,0.024359
Main,500,190,0.020450
Main,500,200,0.017605
Main,500,210,0.023564
Main,500,220,0.019104
Main,500,230,0.021271
Main,500,240,0.023357
Main,500,250,0.026261
Main,500,260,0.021832
Main,500,270,0.018809
Main,500,280,0.025080
Main,500,290,0.024423
Main,500,300,0.017518
Main,500,310,0.021705
Main,500,320,0.017375
Main,500,330,0.020061
Main,500,340,0.020900
Main,500,350,0.023374
Main,500,360,0.044013
Main,500,370,0.023909
Main,500,380,0.033218
Main,500,390,0.029936
Main,500,400,0.088727
Main,500,410,0.024459
Main,500,420,0.020536
Main,500,430,0.027267
Main,500,440,0.016047
Main,500,450,0.020746
Main,500,460,0.040740
Main,500,470,0.029147
Main,500,480,0.023343
Main,500,490,0.017590
Main,500,500,0.021413
EC2,600,10,0.018500
EC2,600,20,0.019079
EC2,600,30,0.021018
EC2,600,40,0.007956
EC2,600,50,0.007556
EC2,600,60,0.009737
EC2,600,70,0.011831
EC2,600,80,0.018573
EC2,600,90,0.010752
EC2,600,100,0.015849
EC2,600,110,0.018970
EC2,600,120,0.014309
EC2,600,130,0.017536
EC2,600,140,0.026815
EC2,600,150,0.015848
EC2,600,160,0.016937
EC2,600,170,0.019169
EC2,600,180,0.019280
EC2,600,190,0.024050
EC2,600,200,0.030126
EC2,600,210,0.022969
EC2,600,220,0.020723
EC2,600,230,0.053228
EC2,600,240,0.028446
EC2,600,250,0.025182
EC2,600,260,0.022269
EC2,600,270,0.022882
EC2,600,280,0.028737
EC2,600,290,0.028540
EC2,600,300,0.026295
EC2,600,310,0.037729
EC2,600,320,0.027917
EC2,600,330,0.040225
EC2,600,340,0.032010
EC2,600,350,0.033013
EC2,600,360,0.033699
EC2,600,370,0.038399
EC2,600,380,0.028305
EC2,600,390,0.023123
EC2,600,400,0.042137
EC2,600,410,0.024319
EC2,600,420,0.028273
EC2,600,430,0.031922
EC2,600,440,0.036850
EC2,600,450,0.032944
EC2,600,460,0.025258
